School,Program,Date_Added,Decision_Detail,Season,Status,GPA,GRE,Comment
University of Toronto,Geography,"March 18, 2025",Accepted on 18 Mar,Fall 2025,International,3.84,,
University of Toronto,Philosophy,"March 18, 2025",Wait listed on 17 Mar,Fall 2025,International,3.86,,
University of Toronto,Teaching,"March 18, 2025",Accepted on 3 Mar,Fall 2025,American,3.67,,
University of Toronto,Philosophy,"March 18, 2025",Accepted on 18 Mar,Fall 2025,International,3.97,,
University of Toronto,Philosophy,"March 17, 2025",Accepted on 17 Mar,Fall 2025,International,3.97,,Email from Christian Pfeiffer. Offer letter will be in the portal soon. Still waitlisted for the PhD.
University of Toronto,Architecture,"March 15, 2025",Accepted on 14 Mar,Fall 2025,International,3.75,,Domestic Student Advanced Standing Option
University of Toronto,Economics,"March 15, 2025",Wait listed on 15 Mar,Fall 2025,International,,,*ignore status* anyone get any updates for this program? Radio silence from them
University of Toronto,English,"March 15, 2025",Accepted on 20 Feb,Fall 2025,International,3.97,,Canadian applicant. Received a very nice personalized email from the Associate Director on February 20th letting me know of my admission. Received official acceptance on March  6th through the portal.
University of Toronto,Planning,"March 14, 2025",Accepted on 12 Mar,Fall 2025,International,,,
University of Toronto,Architecture,"March 14, 2025",Accepted on 14 Mar,Fall 2025,International,,,Advanced Standing option
University of Toronto,Architecture,"March 14, 2025",Accepted on 14 Mar,Fall 2025,International,,,
