School,Program,Date_Added,Decision_Detail,Season,Status,GPA,GRE,Comment
University of Pennsylvania,Computer Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,American,3.76,,
University of Pennsylvania,Computer Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,International,9.04,,
University of Pennsylvania,Computer Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,International,3.50,,Got an email this morning to check portal
University of Pennsylvania,Computer and Information Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,International,3.37,GRE 168 | GRE V 162 | GRE AW 4.00,"3 research internships (2 academic + 1 corporate), 1 TAship, 1 paper"
University of Pennsylvania,Computer and Information Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,International,3.61,GRE 167 | GRE V 159 | GRE AW 4.50,"4 research papers, 1 internship"
University of Pennsylvania,Computer Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,International,,,"The GPA 3.7 from UMD-CP(Masters Data Science program), 2 unpublished papers, strong LORs(Director of my program)."
University of Pennsylvania,Computer Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,International,3.83,GRE 165 | GRE V 161 | GRE AW 3.50,
University of Pennsylvania,Computer Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,International,3.67,GRE 170 | GRE V 162 | GRE AW 4.00,
University of Pennsylvania,Computer Science,"March 26, 2024",Rejected on 26 Mar,Fall 2024,International,,,
University of Pennsylvania,History and Sociology of Science,"March 26, 2024",Rejected on 26 Mar,Fall 2025,International,,,"Email DGS, they said the result should be all out last week"
University of Pennsylvania,Environmental Studies,"March 25, 2024",Accepted on 14 Feb,Fall 2024,International,3.90,,
University of Pennsylvania,Applied Mathematics And Computational Science,"March 22, 2024",Rejected on 22 Mar,Fall 2024,American,3.70,,Email to check portal
University of Pennsylvania,Finance,"March 22, 2024",Interview on 22 Mar,Fall 2024,International,,,Ignore status. Did anyone hear from Wharton Finance? Any rejects? Interviews? Have they sent out all offers?
University of Pennsylvania,Materials Science And Engineering,"March 20, 2024",Accepted on 18 Mar,Fall 2024,International,3.87,,
University of Pennsylvania,Mechanical Engineering and Applied Mechanics,"March 20, 2024",Accepted on 6 Mar,Fall 2024,International,3.80,GRE 160 | GRE V 155 | GRE AW 4.50,
University of Pennsylvania,Bioengineering,"March 19, 2024",Accepted on 19 Mar,Fall 2024,American,3.94,,
University of Pennsylvania,Bioengineering,"March 19, 2024",Accepted on 19 Mar,Fall 2024,International,,,
University of Pennsylvania,Mechanical Engineering,"March 18, 2024",Accepted on 18 Mar,Fall 2024,American,3.73,,
University of Pennsylvania,Integrated Product Design,"March 18, 2024",Accepted on 18 Mar,Fall 2024,American,3.13,,email to check portal!! CANNOT BELIEVE I GOT INTO PENN!!!!
